№,Начало,Конец,Вид,Содержание,Диалоги
1,00:00:00:00,00:00:04:09,НДП,"Логотип. Телекомпания Партнер.",Музыка
2,00:00:04:09,00:01:06:13,Ср. НДП,"Заставка. На фоне лица появляется титр: Телеканал ""Домашний"" и Телекомпания ""Партнер"" представляет. [подробное описание]",Музыка
3,00:01:06:13,00:01:09:09,Ср. НДП,"Тома идет по салону в белой форме, оборачивается. Титр: Галина – Полина Нечитайло. Юсеф – Олег Чудницов-Хартулари. Мохаммед – Ян Румянцев","ТОМА
Проходите. Присаживайтесь"
4,00:01:09:09,00:01:12:06,Ср.,"Клиентка приходит в салон, Тома ее встречает.",Музыка
5,00:01:12:06,00:01:14:02,Ср.,"Клиентка идет по салону, улыбается",
6,00:01:14:02,00:01:16:12,Ср.,"Клиентка спиной к камере, подходит к кушетке, трогает его рукой",
7,00:01:16:12,00:01:18:05,Кр. НДП,"К зеркалу подходит Тома. Титр «Татьяна Елена Чекмазова, менеджер Андрей Бутуханов, латинос Марат Ольмесханов»",
8,00:01:18:05,00:01:19:15,Кр.,Тома открывает кран,"Фоновая музыка. Шум воды."
9,00:01:19:15,00:01:22:09,Ср.,Галя садится на кушетку,"ТОМА
Ааа"
10,00:01:22:09,00:01:23:14,Кр.,Тома говорит в кадре,"ТОМА
вы знаете,"
11,00:01:23:14,00:01:24:12,Кр.,Тома моет руки,"ТОМА
у нас"
12,00:01:24:12,00:01:29:20,Кр. НДП,"Тома в кадре. Камера двигается в сторону, переходит на клиентку. Титр: жены Анна Татренко, Инна Михайлова...","ТОМА
такая проблема?
ГАЛЯ
Проблема?"
13,00:01:29:20,00:01:30:19,Кр.,Галя хватается руками за живот,
14,00:01:30:19,00:01:33:08,Кр. НДП,"Галя в кадре. Титр: дочери Кристина Болевудзе, Марина Начкебия...","ГАЛЯ
Вы имеете ввиду мою беременность?"
15,00:01:33:08,00:01:34:10,Кр.,Тома выглядывает из-за угла.,
16,00:01:34:10,00:01:35:19,Кр.,Галя смотрит на Тому.,
17,00:01:35:19,00:01:37:11,Кр.,"Тома смотрит на Галю, говорит","ТОМА
а вы беременны?"
18,00:01:37:11,00:01:40:07,Кр.,Галя говорит в кадре,"ГАЛЯ
ну, немножко"
19,00:01:40:07,00:01:41:10,НДП. Кр.,"Тома в кадре. Титр: режиссер Александра Ерофеева",
20,00:01:41:10,00:01:43:22,Кр.,"Галя поднимает руку вверх, показывает четыре пальца, улыбается","ГАЛЯ
четвертый месяц"
21,00:01:43:22,00:01:45:06,Ср.,Тома смотрит на Галю,"ТОМА
А!"
22,00:01:45:06,00:01:46:18,Ср.,"Галя стоит около кресла, в кадр входит Тома, говорит.","ТОМА
Ну…"
